IMDESC	ITMDSC	PRICCD	IMLIST	IMTCST	GROUP	IMSTYL	IMRANK	IMGEN	IMXRBC	AMNAME	ITEM	IMMCST
EXT PROTECTION GAS/DRYER 2 YR  	                                        	0	79	20	82	AB	7	90001646	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RV2D                                	20
EXT PROTECTION GAS/DRYER 3 YR  	                                        	0	119	31	82	AB	7	90001654	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RV3D                                	31
EXT PROTECTION GAS/DRYER 5 YR  	                                        	0	169	53	82	AB	7	90001662	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RV5D                                	53
EXT PROTECTION STK/LNDRY 2 YR  	                                        	0	79	20	82	AB	7	90001670	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RW2D                                	20
EXT PROTECTION STK/LNDRY 3 YR  	                                        	0	119	53	82	AB	7	90001688	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RW3D                                	53
EXT PROTECTION STK/LNDRY 5 YR  	                                        	0	169	92	82	AB	7	90001696	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RW5D                                	92
EXT PROTECTION TPLD/WSHR 2 YR  	                                        	0	99	26	82	AB	7	90001703	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RS2E                                	26
EXT PROTECTION TPLD/WSHR 3 YR  	                                        	0	149	45	82	AB	7	90001711	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RS3E                                	45
EXT PROTECTION TPLD/WSHR 5 YR  	                                        	0	199	74	82	AB	7	90001729	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RS5E                                	74
EXT PROTECTION FRNTLD/WSHR 2 YR	                                        	0	99	26	82	AB	7	90001737	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RT2E                                	26
